"Rescale Algorithm	ML Algorithm	Accuracy	Precision	Recall	F1-Score	Confusion Matrix",,,,,,
Over0.1Under0.5,Decision Tree Classifier,0.983122363,0.952848723,1,0.975855131,[[913  24] [  0 485]]
Over0.1Under0.5,SVM,1,1,1,1,[[937   0] [  0 485]]
ClusterCentroids,KNN,0.9620253164556962,0.9271255060728745,1.0,0.9621848739495799,[[454  36] [  0 458]]
ClusterCentroids,Random Forest Classifier,0.9947257383966245,0.9892008639308856,1.0,0.99457111834962,[[485   5] [  0 458]]
ClusterCentroids,Decision Tree Classifier,0.9767932489451476,0.9541666666666667,1.0,0.9765458422174841,[[468  22] [  0 458]]
ClusterCentroids,SVM,1.0,1.0,1.0,1.0,[[490   0] [  0 458]]
ClusterCentroids,KNN,0.9672995780590717,0.9371196754563894,1.0,0.9675392670157067,[[455  31] [  0 462]]
ClusterCentroids,Random Forest Classifier,0.9936708860759493,0.9871794871794872,1.0,0.9935483870967742,[[480   6] [  0 462]]
ClusterCentroids,Decision Tree Classifier,0.9852320675105485,0.9705882352941176,1.0,0.9850746268656716,[[472  14] [  0 462]]
ClusterCentroids,SVM,1.0,1.0,1.0,1.0,[[486   0] [  0 462]]
ClusterCentroids,KNN,0.9651898734177216,0.930379746835443,1.0,0.9639344262295081,[[474  33] [  0 441]]
ClusterCentroids,Random Forest Classifier,0.9947257383966245,0.9887892376681614,1.0,0.9943630214205187,[[502   5] [  0 441]]
ClusterCentroids,Decision Tree Classifier,0.9841772151898734,0.9671052631578947,1.0,0.9832775919732442,[[492  15] [  0 441]]
ClusterCentroids,SVM,1.0,1.0,1.0,1.0,[[507   0] [  0 441]]
ClusterCentroids,KNN,0.9641350210970464,0.9296066252587992,1.0,0.9635193133047211,[[465  34] [  0 449]]
ClusterCentroids,Random Forest Classifier,0.9947257383966245,0.9889867841409692,1.0,0.9944629014396457,[[494   5] [  0 449]]
ClusterCentroids,Decision Tree Classifier,0.9831223628691983,0.9655913978494624,1.0,0.9824945295404814,[[483  16] [  0 449]]
ClusterCentroids,SVM,1.0,1.0,1.0,1.0,[[499   0] [  0 449]]
ClusterCentroids,KNN,0.9704641350210971,0.9426229508196722,1.0,0.9704641350210971,[[460  28] [  0 460]]
ClusterCentroids,Random Forest Classifier,0.9936708860759493,0.9871244635193133,1.0,0.9935205183585313,[[482   6] [  0 460]]
ClusterCentroids,Decision Tree Classifier,0.9820675105485233,0.9643605870020965,1.0,0.9818569903948774,[[471  17] [  0 460]]
ClusterCentroids,SVM,1.0,1.0,1.0,1.0,[[488   0] [  0 460]]
