Report Received Date,Manufacturer,Subject,Component,Recall Type,Potentially Affected,Park Outside Advisory ,Do Not Drive Advisory
10/26/2017,Honda (American Honda Motor Co.),Water may Enter Fuel Tank,"FUEL SYSTEM, GASOLINE",Vehicle,2443.0,No,No
08/06/2014,"Chrysler (FCA US, LLC)",Knee Air Bag may Deploy Improperly/FMVSS 208,AIR BAGS,Vehicle,25479.0,No,No
06/14/2017,"BMW of North America, LLC",Incorrect Engine Cooler Oil Line Installed,ENGINE AND ENGINE COOLING,Vehicle,206.0,No,No
10/09/2020,The Toro Company,Tow Pole Bolts May Break,EQUIPMENT,Vehicle,605.0,No,No
12/19/2018,"Mercedes-Benz USA, LLC",Incorrect Headlight Adjustment/FMVSS 108,EXTERIOR LIGHTING,Vehicle,2364.0,No,No
11/17/2021,Toyota Motor Engineering & Manufacturing,Incorrect Seat Belt Webbing Guide Installed,SEAT BELTS,Vehicle,2259.0,No,No
05/22/2014,Toyota Motor Engineering & Manufacturing,Second Row Right-Hand Seat Assembly/FMVSS 207,SEATS,Vehicle,231.0,No,No
05/20/2022,"Mercedes-Benz USA, LLC",Disabled Emergency Call System,COMMUNICATION,Vehicle,234918.0,No,No
02/12/2020,"Daimler Vans USA, LLC",Exhaust may Leak From Exhaust Flange Connection,ENGINE AND ENGINE COOLING,Vehicle,4385.0,No,No
11/09/2018,Honda (American Honda Motor Co.),Power Sliding Doors May Open While Moving,LATCHES/LOCKS/LINKAGES,Vehicle,107774.0,No,No
09/25/2018,"Gillig, LLC",Loss of Drive from Broken Transmission Switch,POWER TRAIN,Vehicle,90.0,No,No
07/20/2018,"Daimler Trucks North America, LLC",Incorrectly Installed Steering Shaft Assembly,STEERING,Vehicle,9093.0,No,No
10/03/2017,Great Dane Trailers,Caliper Bolts Improperly Torqued,"SERVICE BRAKES, AIR",Vehicle,90.0,No,No
12/08/2022,"General Motors, LLC",Running Lights May Not Deactivate/FMVSS 108,EXTERIOR LIGHTING,Vehicle,740108.0,No,No
09/02/2020,"Volkswagen Group of America, Inc.",Passenger Frontal Air Bag Folded Wrong/FMVSS 208,AIR BAGS,Vehicle,1829.0,No,No
01/16/2018,Ford Motor Company,Second Row Power Windows May Not Reverse/FMVSS 118,VISIBILITY,Vehicle,361.0,No,No
02/08/2017,"Volkswagen Group of America, Inc.",Brake Fluid Leak may Reduce Braking Power,"SERVICE BRAKES, HYDRAULIC",Vehicle,1007.0,No,No
11/29/2016,Van Hool N.V.,Front Steering Knuckle Carriers may Crack,STEERING,Vehicle,1612.0,No,No
06/01/2015,Van Hool N.V.,Steering Knuckle Carrier may Break,STEERING,Vehicle,555.0,No,No
01/20/2015,"Volkswagen Group of America, Inc.",Fuel Injection System Fuel Leak,"FUEL SYSTEM, GASOLINE",Vehicle,26008.0,No,No
03/12/2020,"Jaguar Land Rover North America, LLC",Trailer Lights may not Function,ELECTRICAL SYSTEM,Vehicle,1553.0,No,No
02/14/2020,"Mercedes-Benz USA, LLC",Loss of Stability Control and Anti-Lock Brakes,ELECTRONIC STABILITY CONTROL,Vehicle,6300.0,No,No
03/26/2020,"Daimler Vans USA, LLC",Incorrect Information in Operator's Manual,EQUIPMENT,Vehicle,52127.0,No,No
10/27/2014,"Jaguar Land Rover North America, LLC",Electrical Short or Loss of Power Assist Steering,ELECTRICAL SYSTEM,Vehicle,272.0,No,No
06/25/2021,"Mercedes-Benz USA, LLC",Seat Belt Locking Retractor Malfunction/FMVSS 208,SEAT BELTS,Vehicle,4917.0,No,No
05/10/2021,PACCAR Incorporated,Spring Brake Chamber Assembled Incorrectly,"SERVICE BRAKES, AIR",Vehicle,13.0,No,No
03/26/2020,"General Motors, LLC",Rear Doors May Open While Driving,LATCHES/LOCKS/LINKAGES,Vehicle,897.0,No,No
12/17/2019,Prevost Car (US) Inc.,Driveshaft Clamp Bolts Improperly Tightened,POWER TRAIN,Vehicle,39.0,No,No
08/12/2019,"Mercedes-Benz USA, LLC",Incorrectly Installed Air Conditioner Drain Hoses,EQUIPMENT,Vehicle,18392.0,No,No
04/23/2019,Toyota Motor Engineering & Manufacturing,Door Spot Welds Affecting Air Bag Deployment,AIR BAGS,Vehicle,274.0,No,No
03/14/2019,"Chrysler (FCA US, LLC)",Steering Wheel May Detach From Steering Column,STEERING,Vehicle,52.0,No,No
12/19/2018,"Mercedes-Benz USA, LLC",Sunroof Bonding may Allow Water to Leak in,AIR BAGS,Vehicle,13.0,No,No
07/12/2018,"Multiquip, Inc.",Center-Mounted Trailer Jack may Collapse,STRUCTURE,Vehicle,13.0,No,No
03/14/2017,"Mercedes-Benz USA, LLC",Air Bag 'Out-of-Position' Setting/FMVSS 208,AIR BAGS,Vehicle,65.0,No,No
07/26/2016,"Navistar, Inc.",Fuse Terminal may Break Causing Loss of Cab Power,ELECTRICAL SYSTEM,Vehicle,3952.0,No,No
04/27/2016,Ford Motor Company,"Driver Seat Riser Weld may Fail/FMVSS 207,210",SEAT BELTS,Vehicle,39.0,No,No
06/17/2014,REV Recreation Group,Seat Belt Fray/FMVSS 209,SEAT BELTS,Vehicle,14.0,No,No
04/06/2021,Arcimoto Inc,Exceeding Charge Limit May Cause Battery Shutdown,ELECTRICAL SYSTEM,Vehicle,252.0,No,No
01/27/2020,"Mercedes-Benz USA, LLC",Oil Feed Line to Turbocharger May Leak,ENGINE AND ENGINE COOLING,Vehicle,2518.0,No,No
11/22/2013,"Volvo Car USA, LLC",Driver not Warned of Low Oil Pressure,ENGINE AND ENGINE COOLING,Vehicle,30929.0,No,No
12/09/2016,Honda (American Honda Motor Co.),Water may Leak into Rear Wiring Harness,ELECTRICAL SYSTEM,Vehicle,9179.0,No,No
10/23/2017,Ford Motor Company,Unintended Vehicle Movement,POWER TRAIN,Vehicle,12429.0,No,No
04/13/2016,"Mercedes-Benz USA, LLC",Loss of Vehicle Battery may Result in Rollaway,ELECTRICAL SYSTEM,Vehicle,223.0,No,No
10/21/2015,"Maserati North America, Inc.",Starter Motor Cable may Short to Ground,ELECTRICAL SYSTEM,Vehicle,984.0,No,No
06/08/2015,"Mercedes-Benz USA, LLC",Oil may Leak from Chain Tensioner Gasket,ENGINE AND ENGINE COOLING,Vehicle,814.0,No,No
04/10/2019,Shyft Group,Windshield Wipers May Become Inoperable,VISIBILITY,Vehicle,8822.0,No,No
07/21/2015,REV Recreation Group,Possible Incorrect Propane Gas Tank Regulator,EQUIPMENT,Vehicle,92.0,No,No
04/15/2021,"Subaru of America, Inc.",Rear Stabilizer Bracket Bolts May Detach,SUSPENSION,Vehicle,408271.0,No,No
04/17/2019,"BMW of North America, LLC",Electrical Power May Shutdown,ELECTRICAL SYSTEM,Vehicle,159.0,No,No
03/08/2023,Ford Motor Company,Steering Wheel May Lock-Up While Driving,STEERING,Vehicle,343.0,No,No
12/19/2018,"Navistar, Inc.",False Brake Light Warning,"SERVICE BRAKES, HYDRAULIC",Vehicle,475.0,No,No
06/30/2016,"Chrysler (FCA US, LLC)",Center Passenger Seat Belts May Become Inoperable,SEAT BELTS,Vehicle,3620.0,No,No
10/16/2015,Honda (American Honda Motor Co.),"Improper Software to Module FMVSS 126,135,138",ELECTRICAL SYSTEM,Vehicle,35406.0,No,No
03/11/2021,"Jaguar Land Rover North America, LLC",ABS and DSC Systems May Become Disabled,ELECTRONIC STABILITY CONTROL,Vehicle,2089.0,No,No
10/15/2018,"Mercedes-Benz USA, LLC",Starter Battery has Exposed Positive Cable,ELECTRICAL SYSTEM,Vehicle,4073.0,No,No
12/16/2021,Ford Motor Company,"Improperly Attached Rear Seat Belts/FMVSS 208, 210",SEAT BELTS,Vehicle,2622.0,No,No
02/13/2019,"Volkswagen Group of America, Inc.",Rear Center Headrests may Detach in a Crash,SEATS,Vehicle,3326.0,No,No
10/25/2017,"Volkswagen Group of America, Inc.",Aluminum Trim for Speakers can Come Loose,STRUCTURE,Vehicle,31323.0,No,No
01/20/2017,Walker Stainless Equipment Company LLC,Underride Guard may Detach from Trailer,STRUCTURE,Vehicle,543.0,No,No
10/06/2020,"Ferrari North America, Inc.",Rear Window Not Bonded Correctly,VISIBILITY,Vehicle,1063.0,No,No
01/03/2017,"Volkswagen Group of America, Inc.",Air Bag Inflator may Rupture due to Corrosion,AIR BAGS,Vehicle,234057.0,No,No
03/23/2017,"McNeilus Truck & Manufacturing, Inc.",Corrosion of CNG Fuel Hose may cause Fuel Leak,"FUEL SYSTEM, OTHER",Vehicle,130.0,No,No
11/20/2014,"Mack Trucks, Inc.",Automatic Shut-down Protection System,ENGINE,Vehicle,40.0,No,No
08/13/2014,"General Motors, LLC",CNG Regulator Leaking Natural Gas,"FUEL SYSTEM, OTHER",Vehicle,3345.0,No,No
10/17/2019,"Subaru of America, Inc.",PCV Valve May Separate,ENGINE AND ENGINE COOLING,Vehicle,205000.0,No,No
06/27/2019,Mazda North American Operations,Software Error May Cause Engine Stall,ENGINE,Vehicle,262220.0,No,No
05/03/2017,"Volkswagen Group of America, Inc.",Fuel Pump Flange May Crack Causing Fuel Leak,"FUEL SYSTEM, GASOLINE",Vehicle,240487.0,No,No
03/25/2015,"Yamaha Motor Corporation, USA",Shift Cam Segment Stopper may Fracture,POWER TRAIN,Vehicle,4900.0,No,No
10/20/2014,"Volkswagen Group of America, Inc.",Sun-Roof May Break,VISIBILITY,Vehicle,7062.0,No,No
10/14/2015,"Mercedes-Benz USA, LLC","Incorrect Seat Belt Position/FMVSS 208, 209",SEAT BELTS,Vehicle,2580.0,No,No
03/25/2016,Blue Bird Body Company,"Seat Leg may Detach, Seat may Give/FMVSS 210",SEATS,Vehicle,67.0,No,No
07/27/2018,Hyundai Motor America,Passenger Air Bag may Deploy with a Child in Seat,AIR BAGS,Vehicle,3305.0,No,No
01/26/2017,"BMW of North America, LLC",Passenger Air Bag May Not Deploy Properly,AIR BAGS,Vehicle,16771.0,No,No
12/29/2016,"Jaguar Land Rover North America, LLC",Seat Belt Pretensioners may not Function Properly,SEAT BELTS,Vehicle,13500.0,No,No
12/19/2019,PACCAR Incorporated,Rear Axle Output Shafts May Fracture,POWER TRAIN,Vehicle,148.0,No,No
10/20/2016,"Mercedes-Benz USA, LLC",Low-Beam Headlights out of Adjustment/FMVSS 108,EXTERIOR LIGHTING,Vehicle,996.0,No,No
03/12/2018,Hyundai Motor America,Voltage Protection Device Improper Activation,HYBRID PROPULSION SYSTEM,Vehicle,2840.0,No,No
01/16/2015,Toyota Motor Engineering & Manufacturing,Passenger Air Bag may not Deploy/FMVSS 208,AIR BAGS,Vehicle,4971.0,No,No
10/18/2021,"Mercedes-Benz USA, LLC",Seats Assembled Incorrectly,SEATS,Vehicle,27.0,No,No
06/28/2021,"Heartland Recreational Vehicles, LLC",Incorrect GVWR on Certification Label/FMVSS 120,EQUIPMENT,Vehicle,27.0,No,No
06/05/2019,Thor Motor Coach,Extra Screw in Junction Box May Cause Fire,ELECTRICAL SYSTEM,Vehicle,81.0,No,No
12/18/2017,"Mercedes-Benz USA, LLC",Door May Not Lock/ FMVSS 206,LATCHES/LOCKS/LINKAGES,Vehicle,8700.0,No,No
03/23/2017,"Hino Motors Sales U.S.A., Inc.",Clutch Drum Wear may Cause Loss of Drive,HYBRID PROPULSION SYSTEM,Vehicle,1815.0,No,No
02/01/2018,"Jaguar Land Rover North America, LLC",TPMS Settings Incorrect/FMVSS 138,TIRES,Vehicle,190.0,No,No
12/05/2018,"Volkswagen Group of America, Inc.",Improperly Secured Fuel Line may cause Fuel Leak,"FUEL SYSTEM, GASOLINE",Vehicle,516.0,No,No
03/18/2016,"General Motors, LLC",Failure of Electric Power Steering,STEERING,Vehicle,6280.0,No,No
06/03/2015,"Volvo Car USA, LLC",Seat Air Bag Wiring Harness Routed Incorrectly,AIR BAGS,Vehicle,584.0,No,No
07/19/2016,"BMW of North America, LLC",Inadequately Welded Driveshaft may Fracture,POWER TRAIN,Vehicle,956.0,No,No
09/23/2015,"Chrysler (FCA US, LLC)",Defective Engine Control Module may Cause Stall,ELECTRICAL SYSTEM,Vehicle,41.0,No,No
04/16/2020,Ford Motor Company,Belt Tension Sensor Malfunction,SEAT BELTS,Vehicle,1355.0,No,No
06/28/2018,"General Motors, LLC",Excess Adhesive on Child Seat Anchor/FMVSS 225,CHILD SEAT,Vehicle,22043.0,No,No
04/28/2021,Hyundai Motor America,Seat Back Recliners Improperly Welded,SEATS,Vehicle,1464.0,No,No
08/12/2019,"Daimler Vans USA, LLC",Taillights May Dim or Switch Off,EXTERIOR LIGHTING,Vehicle,8243.0,No,No
03/11/2015,"Mack Trucks, Inc.",Inadvertent Fifth Wheel Latch Release,TRAILER HITCHES,Vehicle,262.0,No,No
10/12/2017,Keystone RV Company,Toy Hauler Suspension may Fail,SUSPENSION,Vehicle,83.0,No,No
12/09/2021,"Subaru of America, Inc.",Tie Rods May Separate,STEERING,Vehicle,1305.0,No,No
05/18/2020,"Daimler Trucks North America, LLC",Undersized Ground Wire May Cause Engine Stall,ELECTRICAL SYSTEM,Vehicle,2987.0,No,No
06/14/2018,"Chrysler (FCA US, LLC)",Obstruction of View When put in Reverse/FMVSS 111,VISIBILITY,Vehicle,1741.0,No,No
04/08/2020,Toyota Motor Engineering & Manufacturing,Back-Up Lights May Fail,EXTERIOR LIGHTING,Vehicle,960.0,No,No
01/26/2022,Toyota Motor Engineering & Manufacturing,Turn Signal Lights May Fail/FMVSS 108,EXTERIOR LIGHTING,Vehicle,41544.0,No,No
12/08/2014,Pierce Manufacturing,Accelerator Return Springs may Fail Prematurely,VEHICLE SPEED CONTROL,Vehicle,185.0,No,No
09/23/2021,"Nissan North America, Inc.",Third-Row Headrests may Move or Detach/FMVSS 202,SEATS,Vehicle,10082.0,No,No
06/01/2015,"Porsche Cars North America, Inc.",Wiring Harness for Cooling Fan may Short,ENGINE AND ENGINE COOLING,Vehicle,223.0,Yes,No
12/08/2020,"Nissan North America, Inc.",Exposed Wire in Engine Harness Can Cause Stall,ELECTRICAL SYSTEM,Vehicle,7583.0,No,No
12/05/2014,Ford Motor Company,Fuel Pressure Sensor May Leak,"FUEL SYSTEM, GASOLINE",Vehicle,712.0,No,No
07/22/2022,Shyft Group,Steering Gear Assembled Incorrectly,STEERING,Vehicle,100.0,No,No
09/14/2021,"Trail King Industries, Inc.",Rear Sliding Axle Suspension Beams May Crack,SUSPENSION,Vehicle,14.0,No,No
08/04/2021,Lamborghini (Automobili Lamborghini),Seat Belt Locking Retractor Malfunction/FMVSS 208,SEAT BELTS,Vehicle,224.0,No,No
03/20/2020,"Mercedes-Benz USA, LLC",Rear Crossmember May Detach,STRUCTURE,Vehicle,224.0,No,No
08/28/2019,"Jayco, Inc.",Steering Shaft Bolts may be Improperly Tightened,STEERING,Vehicle,14.0,No,No
03/01/2019,"Terex Advance Mixer, Inc.",Caliper Drive Pins may Fracture,"SERVICE BRAKES, AIR",Vehicle,98.0,No,No
03/14/2018,"Ferrara Fire Apparatus, Inc.",Front Axle Spindle may Fracture,SUSPENSION,Vehicle,59.0,No,No
03/06/2018,"Mercedes-Benz USA, LLC",Incorrect Adjustment of LED Headlights/FMVSS 108,EXTERIOR LIGHTING,Vehicle,28.0,No,No
01/11/2018,"Chrysler (FCA US, LLC)",Fuel Line Separation may Cause Fire,"FUEL SYSTEM, GASOLINE",Vehicle,1242.0,No,No
06/27/2017,Shyft Group,Fuel Pump may Fail,"FUEL SYSTEM, DIESEL",Vehicle,28.0,No,No
10/21/2016,Newmar Corporation,Entry/Exit Steps May Retract Unexpectedly,EQUIPMENT,Vehicle,42.0,No,No
10/26/2015,"Volkswagen Group of America, Inc.",Loss of Power Brakes due to Camshaft Lobe Fracture,ENGINE AND ENGINE COOLING,Vehicle,91867.0,No,No
09/23/2015,"Chrysler (FCA US, LLC)",Passenger Air Bag may Deploy Improperly/FMVSS 208,AIR BAGS,Vehicle,15.0,No,No
10/17/2013,"Chrysler (FCA US, LLC)",Loss of ABS/ESC & Instrument Cluster Display,ELECTRICAL SYSTEM,Vehicle,90981.0,No,No
05/09/2019,"BMW of North America, LLC",Occupant Injury in the Event of a Crash/FMVSS 201,STRUCTURE,Vehicle,106182.0,No,No
07/24/2015,"General Motors, LLC",Occupant Sensing System/FMVSS 208,AIR BAGS,Vehicle,5493.0,No,No
05/17/2021,"Porsche Cars North America, Inc.",Front Lower Trailing Arms Not Forged Correctly,SUSPENSION,Vehicle,565.0,No,No
08/27/2020,"Jaguar Land Rover North America, LLC",Tire Pressure Monitoring System Software/FMVSS 138,ELECTRICAL SYSTEM,Vehicle,1285.0,No,No
04/05/2019,PACCAR Incorporated,Cold Temperature may result in Parking Brake Delay,PARKING BRAKE,Vehicle,1837.0,No,No
09/10/2021,"Nissan North America, Inc.",Secondary Hood Latch May Detach/FMVSS 113,LATCHES/LOCKS/LINKAGES,Vehicle,3030.0,No,No
03/20/2015,"General Motors, LLC",Missing Rim Size Information on Label/FMVSS 110,EQUIPMENT,Vehicle,19831.0,No,No
02/18/2015,"Jaguar Land Rover North America, LLC",Fuel Starvation may cause Vehicle Stall,"FUEL SYSTEM, GASOLINE",Vehicle,355.0,No,No
10/14/2015,"Mercedes-Benz USA, LLC",Engine Stall due to Engine Control Unit Software,ELECTRICAL SYSTEM,Vehicle,3177.0,No,No
02/14/2019,"Ferrari North America, Inc.",Doors May Not Open,LATCHES/LOCKS/LINKAGES,Vehicle,582.0,No,No
02/01/2016,"General Motors, LLC",Loss of Power Steering Assist,STEERING,Vehicle,2988.0,No,No
11/27/2018,"Mercedes-Benz USA, LLC",Incorrect Display of Passenger Air Bag Status,AIR BAGS,Vehicle,104663.0,No,No
03/29/2018,"Mercedes-Benz USA, LLC",Air Bag Inflator Housing Material Failure,AIR BAGS,Vehicle,57.0,No,No
04/19/2023,"Heartland Recreational Vehicles, LLC",Incorrect Tire Information on Label/FMVSS 120,EQUIPMENT,Vehicle,100.0,No,No
05/04/2021,Arcimoto Inc,Inverter Communication May Time Out,ELECTRICAL SYSTEM,Vehicle,261.0,No,No
05/13/2015,Toyota Motor Engineering & Manufacturing,Driver Side Frontal Air Bag May Rupture,AIR BAGS,Vehicle,159700.0,No,No
06/09/2020,"Chrysler (FCA US, LLC)",12V Connector Post May Overheat Causing Fire,ELECTRICAL SYSTEM,Vehicle,23079.0,No,No
04/29/2020,"Terex South Dakota, Inc.",Incorrect Slope Indicator and Decals,EQUIPMENT,Vehicle,43.0,No,No
12/09/2014,"ARBOC Specialty Vehicles, LLC",Windows Not Safety Stamped/FMVSS 205,VISIBILITY,Vehicle,43.0,No,No
01/25/2017,"Porsche Cars North America, Inc.",Fuel Leak due to Sheared Fastening Screws,"FUEL SYSTEM, GASOLINE",Vehicle,4090.0,No,No
08/13/2019,"Kia America, Inc.",Incorrect Seat Belt Assemblies Installed/FMVSS 208,SEAT BELTS,Vehicle,30168.0,No,No
01/28/2019,"Stoughton Trailers, LLC",Pintle Mounting may Fail and Trailer may Detach,TRAILER HITCHES,Vehicle,2384.0,No,No
08/16/2018,"Mercedes-Benz USA, LLC",Insufficient Coating on Rear Brake Caliper Pistons,"SERVICE BRAKES, HYDRAULIC",Vehicle,9044.0,No,No
10/20/2021,"Volkswagen Group of America, Inc.",Rear-View Camera Image May Not Display/FMVSS 111,BACK OVER PREVENTION,Vehicle,2857.0,No,No
02/13/2015,"Mercedes-Benz USA, LLC",Rubber Seal may Dislodge and Contact Exhaust,STRUCTURE,Vehicle,147224.0,No,No
10/06/2017,Keystone RV Company,Trailers built without Carbon Monoxide Detector,EQUIPMENT,Vehicle,270.0,No,No
03/16/2021,"Jayco, Inc.",Incorrectly Routed Furnace Hose May Cause Gas Leak,EQUIPMENT,Vehicle,29.0,No,No
11/20/2017,"Winnebago Industries, Inc.",Improperly Secured Battery and Hydraulic Lines,ELECTRICAL SYSTEM,Vehicle,58.0,No,No
10/17/2013,Ford Motor Company,No audible chime with open driver door/ FMVSS 114,ELECTRICAL SYSTEM,Vehicle,23000.0,No,No
05/01/2017,"Volkswagen Group of America, Inc.",Head Curtain Air Bag Improper Deployment/FMVSS 226,AIR BAGS,Vehicle,17694.0,No,No
12/11/2020,"Mercedes-Benz USA, LLC",Starter Power Supply Cable Installed Incorrectly,ELECTRICAL SYSTEM,Vehicle,2563.0,No,No
11/05/2020,"Nissan North America, Inc.",Over Cured Tires Can Fail,TIRES,Vehicle,2214.0,No,No
03/29/2018,"Mercedes-Benz USA, LLC",Seatbacks may Not Lock,SEATS,Vehicle,3088.0,No,No
03/25/2022,"Mercedes-Benz USA, LLC",Steering Wheel Hands-Off Detection Software Error,STEERING,Vehicle,8396.0,No,No
08/09/2019,"Mercedes-Benz USA, LLC",Battery may not be Secured,ELECTRICAL SYSTEM,Vehicle,26584.0,No,No
07/19/2019,Hyundai Motor America,Oil May Leak Onto Exhaust Manifold,ENGINE AND ENGINE COOLING,Vehicle,8059.0,No,No
10/18/2019,"Subaru of America, Inc.",ECM Software May Cause Stall,ELECTRICAL SYSTEM,Vehicle,466205.0,No,No
05/12/2021,"Equipment Technology, L.L.C.",Unintended Bucket Movement,EQUIPMENT,Vehicle,249.0,No,No
06/19/2015,Shyft Group,Rear Stay Rod Fasteners may Loosen,POWER TRAIN,Vehicle,144.0,No,No
10/17/2013,"Nissan North America, Inc.",Increased Stopping Distance when using ABS,ELECTRICAL SYSTEM,Vehicle,151695.0,No,No
12/09/2021,"Subaru of America, Inc.",Drive Chain May Break Causing Loss of Drive Power,POWER TRAIN,Vehicle,198255.0,No,No
12/11/2019,"Porsche Cars North America, Inc.",Improper CRS Instructions in Owner's Manual,CHILD SEAT,Vehicle,15501.0,No,No
11/10/2021,"Chrysler (FCA US, LLC)",Disabled Air Bags,AIR BAGS,Vehicle,99255.0,No,No
12/20/2017,Toyota Motor Engineering & Manufacturing,Incorrect Load Information on Label/FMVSS 110,EQUIPMENT,Vehicle,649.0,No,No
04/20/2016,"Gulf States Toyota, Inc.",Incorrect Weight Calculations on Label/FMVSS 110,EQUIPMENT,Vehicle,844.0,No,No
06/14/2019,"Mercedes-Benz USA, LLC",Improper Weld May Allow Water To Leak In,STRUCTURE,Vehicle,753.0,No,No
10/07/2015,"BMW of North America, LLC",Passenger Frontal Air Bag May not Deploy Properly,AIR BAGS,Vehicle,6073.0,No,No
06/26/2014,"General Motors, LLC",Rear Shock Absorber Separation,SUSPENSION,Vehicle,1939.0,No,No
02/11/2015,"General Motors, LLC",Electronic Parking Brake may Drag,PARKING BRAKE,Vehicle,3660.0,No,No
09/19/2014,"General Motors, LLC",Driver Air Bag may Separate from Steering Wheel,AIR BAGS,Vehicle,89.0,No,No
07/10/2018,"Mercedes-Benz USA, LLC",Rear Beltline Trim may Separate from Vehicle,STRUCTURE,Vehicle,10826.0,No,No
01/24/2019,Honda (American Honda Motor Co.),Fuel Pump Feed Port May Crack And Leak,"FUEL SYSTEM, GASOLINE",Vehicle,106683.0,No,No
11/01/2018,"Subaru of America, Inc.",Incorrect Fuel Range Display May Cause Stall,ELECTRICAL SYSTEM,Vehicle,228648.0,No,No
09/23/2021,"Nissan North America, Inc.",Second-Row Seat Back Weld May Separate,SEATS,Vehicle,5895.0,No,No
10/14/2022,Shyft Group,Park Brake Interlock Valve Incorrectly Installed,PARKING BRAKE,Vehicle,15.0,No,No
07/01/2022,"Subaru of America, Inc.",Loose Electrical Connection May Cause Engine Stall,ELECTRICAL SYSTEM,Vehicle,15.0,No,No
10/15/2021,"Volkswagen Group of America, Inc.",Improperly Tightened Front Wheel Bearing Bolts,SUSPENSION,Vehicle,30.0,No,No
03/18/2020,"BMW of North America, LLC",Improperly Tightened Instrument Panel Casing,AIR BAGS,Vehicle,15.0,No,No
10/04/2019,Outdoors RV Manufacturing,Incorrectly Mounted Axles/Light Tongue Weight,TRAILER HITCHES,Vehicle,30.0,No,No
03/06/2018,"Mack Trucks, Inc.",Loss of Lighting and Windshield Wipers,ELECTRICAL SYSTEM,Vehicle,135.0,No,No
03/16/2016,"Mack Trucks, Inc.",Steering Shafts May Not be Properly Secured,STEERING,Vehicle,75.0,No,Yes
07/28/2021,"Kia America, Inc.",Blank LCD Display/FMVSS 101,ELECTRICAL SYSTEM,Vehicle,5143.0,No,No
09/25/2015,Honda (American Honda Motor Co.),Hybrid System may go into Fail Safe Mode,HYBRID PROPULSION SYSTEM,Vehicle,6786.0,No,No
08/08/2014,"General Motors, LLC",Seat Belts may not Remain Retracted Under Load,SEAT BELTS,Vehicle,48114.0,No,No
01/19/2018,Aston Martin The Americas,Inadvertent Driver Air Bag Deployment,AIR BAGS,Vehicle,1027.0,No,No
02/16/2021,Ford Motor Company,Incorrect Front Lower Control Arms,SUSPENSION,Vehicle,106.0,No,No
04/12/2019,Honda (American Honda Motor Co.),Loose Battery Terminal Connections,ELECTRICAL SYSTEM,Vehicle,50504.0,No,No
04/25/2022,"Gillig, LLC",Rear Mounted Ultracapacitors Improperly Programmed,ELECTRICAL SYSTEM,Vehicle,592.0,No,No
08/26/2021,"Jaguar Land Rover North America, LLC",Seat Belt Automatic Locking Retractor Malfunction,SEAT BELTS,Vehicle,5146.0,No,No
05/26/2016,Ducati North America,Rear Wheel may have been Installed Incorrectly,WHEELS,Vehicle,925.0,No,No
02/21/2020,Ford Motor Company,Driveshaft May Separate From Rear Axle,POWER TRAIN,Vehicle,319.0,No,No
08/20/2018,"Volkswagen Group of America, Inc.",A/C Drain Tube Causing Air Bag Malfunction,AIR BAGS,Vehicle,9685.0,No,No
03/10/2016,Hyundai Motor America,Absence of Front Seat Belt Audible Warning,SEAT BELTS,Vehicle,34200.0,No,No
12/19/2018,"Mercedes-Benz USA, LLC",Active Driving System may not Detect Hands Off,LANE DEPARTURE,Vehicle,6200.0,No,No
03/13/2020,"Nissan North America, Inc.",Rear Seat Belt Assemblies May Not Lock As Intended,SEAT BELTS,Vehicle,275.0,No,No
10/20/2016,"Mercedes-Benz USA, LLC",Low-Beam Headlights out of Adjustment/FMVSS 108,EXTERIOR LIGHTING,Vehicle,2215.0,No,No
10/16/2019,"Porsche Cars North America, Inc.",No Visual Warning of Brake Pad Wear/FMVSS 135,ELECTRICAL SYSTEM,Vehicle,44128.0,No,No
06/20/2014,Volvo Trucks North America,Active Braking may be Disabled,FORWARD COLLISION AVOIDANCE,Vehicle,1025.0,No,No
06/04/2014,"Chrysler (FCA US, LLC)",Cruise Control Unintended Continued Acceleration,FORWARD COLLISION AVOIDANCE,Vehicle,6120.0,No,No
11/05/2021,"Mercedes-Benz USA, LLC",Window Air Bag Mounted Incorrectly/FMVSS 226,AIR BAGS,Vehicle,46.0,No,No
05/22/2014,Toyota Motor Engineering & Manufacturing,Improper Seat Belt Restraint Software/FMVSS 208,ELECTRICAL SYSTEM,Vehicle,48840.0,No,No
11/23/2015,"Tesla, Inc.",Front Seat Belts may be Incorrectly Secured,SEAT BELTS,Vehicle,59415.0,No,No
08/05/2013,"Jaguar Land Rover North America, LLC",CAC Hose may Detach/Unexpected Engine Stall,ENGINE AND ENGINE COOLING,Vehicle,940.0,No,No
06/10/2021,"General Motors, LLC",Emergency Jack can Fracture While in Use,EQUIPMENT,Vehicle,135400.0,No,No
04/10/2015,"Jaguar Land Rover North America, LLC",Vehicle Control Systems may be Disabled,ELECTRICAL SYSTEM,Vehicle,2687.0,No,No
01/09/2018,"Subaru of America, Inc.",Passenger Frontal Air Bag Inflator May Explode,AIR BAGS,Vehicle,72150.0,No,No
10/14/2015,"Mercedes-Benz USA, LLC",Electric Powertrain Shut Down,ELECTRICAL SYSTEM,Vehicle,2618.0,No,No
10/02/2015,Mazda North American Operations,Fuel Shut Off Valve may cause Fuel Leak,"FUEL SYSTEM, GASOLINE",Vehicle,14411.0,No,Yes
08/04/2022,"Jaguar Land Rover North America, LLC",Missing Audio Safety Features,ELECTRICAL SYSTEM,Vehicle,62.0,No,No
