Report Received Date,Manufacturer,Subject,Component,Recall Type,Potentially Affected,Park Outside Advisory ,Do Not Drive Advisory
02/24/2022,Tenco Inc.,Fuel Tubes May Crack and Leak Fuel,"FUEL SYSTEM, DIESEL",Vehicle,1.0,No,No
01/04/2022,"LGS Industries, Inc.",Rear Door Winch Cable May Break,STRUCTURE,Vehicle,9.0,No,No
11/04/2021,Supreme Corporation,Liftgate License Plate Light Alignment/FMVSS 108,EXTERIOR LIGHTING,Vehicle,20.0,No,No
10/20/2021,Sutphen Corporation,Improperly Crimped Lifting Cable,EQUIPMENT,Vehicle,1.0,No,No
10/15/2021,"Smeal Holding, LLC",Improperly Crimped Lifting Cable,EQUIPMENT,Vehicle,1.0,No,No
10/01/2021,"Corp. Micro Bird, Inc.",Wheels May Become Misaligned,WHEELS,Vehicle,1.0,No,No
09/24/2021,"Carson Trailer, Inc.",Spindle Nuts Improperly Tightened,SUSPENSION,Vehicle,870.0,No,No
08/12/2021,Luxe Trucks dba Utility Bodywerks,Rear Brake Caliper Flexible Line May Leak,"SERVICE BRAKES, HYDRAULIC",Vehicle,4.0,No,No
08/09/2021,"NRC Modifications, Inc.",Window Adhesive Failure,EQUIPMENT,Vehicle,7.0,No,No
07/29/2021,"NRC Modifications, Inc.",Stove Saddle Valves May Leak Gas,EQUIPMENT,Vehicle,2.0,No,No
06/02/2021,Stonebrooke Equipment INC.,Damage to Brake Line can Cause Brake Fluid Leak,"SERVICE BRAKES, HYDRAULIC",Vehicle,1.0,No,No
06/02/2021,Genesis Supreme RV,Stove Saddle Valves may Leak Gas,EQUIPMENT,Vehicle,460.0,No,No
05/21/2021,Tiny Idahomes LLC,Stove Saddle Valves may Leak Gas,EQUIPMENT,Vehicle,2.0,No,No
04/05/2021,Stargate Manufacturing Ltd,Steering Arm May Detach,STEERING,Vehicle,6.0,No,No
02/25/2021,"Daimler Trucks North America, LLC",Engine Control Module Calibrated Incorrectly,ENGINE,Vehicle,35.0,No,No
01/12/2021,"Smeal Holding, LLC",Wireless Controller Sleep Mode Disabled,EQUIPMENT,Vehicle,2.0,No,No
01/08/2021,Marion Body Works Inc.,Lift Gate License Plate Light Alignment,EXTERIOR LIGHTING,Vehicle,1.0,No,No
12/22/2020,Escape Trailer,Stove Saddle Valves may Leak Gas,EQUIPMENT,Vehicle,294.0,No,No
09/02/2020,"Gulf Stream Coach, Inc.",Front Trim Strip May Be Missing from Refrigerator,EQUIPMENT,Vehicle,32.0,No,No
07/01/2020,"Forest River, Inc.",Drawbar and Coupler may Fracture,TRAILER HITCHES,Vehicle,2.0,No,No
06/15/2020,Nova Bus (US) Inc.,Rear Passenger Door May not Re-open if Obstructed,ELECTRICAL SYSTEM,Vehicle,55.0,No,No
04/28/2020,"Forest River, Inc.",Improperly Assembled SeatBelt Retractors/FMVSS 209,SEAT BELTS,Vehicle,2.0,No,No
11/15/2019,Newmar Corporation,Low beam Bulbs May Not Illuminate with High Beams,EXTERIOR LIGHTING,Vehicle,6.0,No,No
10/24/2019,Southern Pride Distributing LLC,Safety Chains may be Too Short,TRAILER HITCHES,Vehicle,19.0,No,No
10/10/2019,"Daimler Trucks North America, LLC",Delay In Seatbelt-Unfastened Telltale/FMVSS 208,ELECTRICAL SYSTEM,Vehicle,7.0,No,No
10/09/2019,"Daimler Trucks North America, LLC",Delay In Seatbelt-Unfastened Telltale/FMVSS 208,ELECTRICAL SYSTEM,Vehicle,1045.0,No,No
09/10/2019,E-One Incorporated,Foam Pump System May Overheat and Fail,EQUIPMENT,Vehicle,1.0,No,No
08/16/2019,"Forest River, Inc.",Storage Rack Beams may Fail,EQUIPMENT,Vehicle,51.0,No,No
07/26/2019,"Forest River, Inc.",Roof Hatch External Handle May Break,STRUCTURE,Vehicle,43.0,No,No
07/12/2019,"Ameritrans Bus, Inc.",Vehicle May Rollaway,POWER TRAIN,Vehicle,4.0,No,No
06/18/2019,Farber Specialty Vehicles,Brake Light may Randomly Illuminate,EXTERIOR LIGHTING,Vehicle,1.0,No,No
06/18/2019,Farber Specialty Vehicles,Brake Light may Randomly Illuminate,EXTERIOR LIGHTING,Vehicle,1.0,No,No
06/05/2019,Farber Specialty Vehicles,Back Up Camera Display Image may be Reversed,EQUIPMENT,Vehicle,4.0,No,No
04/30/2019,Southeast Apparatus,Brake Light may Randomly Illuminate,EXTERIOR LIGHTING,Vehicle,39.0,No,No
04/17/2019,"Spencer Manufacturing, Inc.",Brake Light may Randomly Illuminate,EXTERIOR LIGHTING,Vehicle,12.0,No,No
03/28/2019,"Waldoch Crafts, Inc",Seat Back may not Stay Upright,SEATS,Vehicle,15.0,No,No
03/25/2019,"SNF, Inc. dba BFX Fire Apparatus",Brake Light may Randomly Illuminate,EXTERIOR LIGHTING,Vehicle,55.0,No,No
03/01/2019,Eldorado National-Kansas,Seat Back may not Stay Upright,SEATS,Vehicle,16.0,No,No
03/01/2019,"Ameritrans Bus, Inc.",Wheelchair Lift may Raise too High/FMVSS 403,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,1.0,No,No
